"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"84",7,"Troy Franklin",DEN,"10","67","121","88.0","12.6","+24"
"85",8,"Isaac TeSlaa",DET,"6","75","118","83.4","7.8","-19"
"86",8,"Antonio Williams",WAS,"7","69","120","89.7","10.8","0"
"87",8,"Jack Bech",LV,"13","73","108","90.1","8.5","+8"
"88",8,"Devaughn Vele",NO,"8","62","110","85.4","11.1","0"
"89",8,"Tank Dell",HOU,"8","67","113","87.4","13.4","-8"
"90",8,"Caleb Douglas",MIA,"6","61","114","82.1","13.8","-14"
"91",8,"Keon Coleman",BUF,"7","80","116","94.0","8.9","-4"
"92",8,"Ted Hurst III",TB,"10","67","137","91.3","15.7","-7"
"93",8,"Tyquan Thornton",KC,"5","79","108","94.3","8.1","-"
"94",8,"Elic Ayomanor",TEN,"9","82","142","98.6","12.9","-"
"95",8,"Tory Horton",SEA,"11","86","128","98.7","8.6","+10"
"96",8,"Darius Slayton",NYG,"8","85","116","98.2","8.6","-"
"97",8,"Chimere Dike",TEN,"9","83","137","101.5","14.4","-"
"98",8,"Cyrus Allen",KC,"5","55","141","83.3","18.9","-27"
"99",8,"Marvin Mims Jr.",DEN,"10","84","124","104.0","10.5","-"
"100",8,"Xavier Legette",CAR,"5","80","116","96.3","8.7","-"
"101",8,"Skyler Bell",BUF,"7","93","153","108.4","13.0","-11"
"102",8,"Kyle Williams",NE,"11","77","150","104.5","15.5","-"
"103",8,"Elijah Sarratt",BAL,"13","89","194","104.5","23.9","-"
"104",8,"Hollywood Brown",PHI,"10","96","131","106.5","7.8","-"
"105",8,"DeMario Douglas",NE,"11","69","125","96.4","16.5","-"
"106",8,"Christian Kirk",SF,"8","88","247","110.4","31.0","-"
"107",8,"Mack Hollins",NE,"11","93","141","110.5","11.8","-"
"108",8,"Isaiah Bond",CLE,"11","94","136","113.3","11.2","-"
"109",9,"Andrei Iosivas",CIN,"6","83","121","102.0","10.7","-"
"110",9,"Jahan Dotson",ATL,"11","78","120","100.8","10.2","-"
"111",9,"Bryce Lance",NO,"8","87","115","103.8","9.1","-19"
"112",9,"Brandon Aiyuk",SF,"8","86","142","108.4","14.2","-2"
"113",9,"Jalen Tolbert",MIA,"6","93","122","109.4","8.1","-24"
"114",9,"Xavier Hutchinson",HOU,"8","88","132","109.9","11.9","-"
"115",9,"Kendrick Bourne",ARI,"14","92","125","110.1","8.9","-"
"116",9,"Zavion Thomas",CHI,"10","93","139","119.0","12.0","-"
"117",9,"Joshua Palmer",BUF,"7","88","129","110.3","15.1","-"
"118",9,"Malik Benson",LV,"13","97","127","113.2","10.5","-"
"119",9,"Brenen Thompson",LAC,"7","99","142","116.5","11.9","-"
"120",9,"Tyreek Hill",FA,"0","100","130","112.2","10.3","-55"
"121",9,"Konata Mumpfield",LAR,"11","104","141","122.8","11.4","-"
"122",9,"KaVontae Turpin",DAL,"14","95","142","115.8","15.1","-"
"123",9,"Roman Wilson",PIT,"9","95","133","116.8","10.9","-"
"124",9,"Olamide Zaccheaus",ATL,"11","98","134","119.3","9.5","-"
"125",9,"Luke McCaffrey",WAS,"7","107","163","129.2","14.7","-"
"126",9,"Kalif Raymond",CHI,"10","100","138","119.4","11.4","-"
"127",9,"Tez Johnson",TB,"10","101","140","120.8","10.2","-"
"128",9,"Jalen Royals",KC,"5","109","153","127.8","13.2","-"
"129",9,"CJ Daniels",LAR,"11","116","186","137.1","18.6","-"
"130",9,"Savion Williams",GB,"11","110","150","129.0","10.6","-"
"131",9,"Odell Beckham Jr.",NYG,"8","86","157","121.5","21.7","-"
"132",10,"Treylon Burks",WAS,"7","115","139","125.1","7.6","-"
"133",10,"Colbie Young",CIN,"6","110","136","125.2","8.3","-"
"134",10,"Kevin Coleman Jr.",MIA,"6","89","155","127.2","16.8","-"
"135",10,"Demarcus Robinson",SF,"8","106","140","128.4","12.0","-"
"136",10,"Cedric Tillman",NO,"8","113","179","133.6","21.2","-"
"137",10,"Jaylin Lane",WAS,"7","124","156","139.4","13.3","-"
"138",10,"Ashton Dulin",IND,"13","114","142","129.0","10.0","-"
"139",10,"Devontez Walker",BAL,"13","110","149","129.9","12.3","-"
"140",10,"Jordan Whittington",LAR,"11","117","145","131.3","10.7","-"
"141",10,"Dyami Brown",WAS,"7","114","162","141.8","13.1","-"
"142",10,"Tai Felton",MIN,"6","115","182","141.8","17.2","-"
"143",10,"Tutu Atwell",LAR,"11","120","161","132.9","11.9","-"
"144",10,"Barion Brown",NO,"8","113","150","134.6","11.7","-"
"145",10,"John Metchie III",CAR,"5","128","154","141.1","8.6","-"
"146",10,"Deion Burks",IND,"13","130","174","148.3","13.8","-"
"147",10,"Dont'e Thornton Jr.",LV,"13","126","161","142.6","12.3","-"
"148",10,"Reggie Virgil",ARI,"14","137","198","164.9","20.7","-"
"149",10,"Isaiah Williams",NYJ,"13","104","136","115.8","11.8","-"
"150",10,"Jahdae Walker",CHI,"10","126","154","142.0","8.5","-"
"151",10,"Nick Westbrook-Ikhine",FA,"0","124","157","142.3","11.4","-"
"152",10,"Jimmy Horn Jr.",CAR,"5","123","159","144.8","13.4","-"
"153",10,"KeAndre Lambert-Smith",LAC,"7","143","159","152.7","5.8","-"
"154",10,"Xavier Smith",LAR,"11","146","174","155.8","9.8","-"
