"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"86",9,"Zach Ertz",FA,"0","58","79","67.0","8.5","-"
"87",9,"Tanner Hudson",CIN,"6","74","110","84.6","13.0","-"
"88",9,"Davis Allen",LAR,"11","77","134","96.3","17.9","-"
"89",9,"Josh Cuevas",BAL,"13","74","96","85.4","7.8","-"
"90",9,"Grant Calcaterra",PHI,"10","80","136","97.2","18.6","-"
"91",9,"Joe Royer",CLE,"11","83","90","87.6","2.6","-"
"92",9,"Nate Adkins",DEN,"10","83","142","99.2","20.5","-"
"93",9,"Josh Whyle",GB,"11","78","132","99.5","20.6","-"
"94",9,"Eric Saubert",SEA,"11","96","111","100.0","5.1","-"
"95",9,"Payne Durham",TB,"10","91","124","101.0","10.7","-"
"96",9,"Riley Nowakowski",PIT,"9","53","109","74.3","22.0","-"
"97",9,"Michael Trigg",DAL,"14","65","96","77.0","12.1","-"
"98",9,"Ben Sims",MIA,"6","75","105","94.4","10.2","-"
"99",9,"Bauer Sharp",TB,"10","77","108","94.6","11.2","-"
"100",9,"Drew Ogletree",IND,"13","92","103","98.8","4.5","-"
"101",9,"Jared Wiley",KC,"5","89","130","102.6","14.8","-"
"102",9,"Kylen Granson",TEN,"9","100","143","112.7","15.1","-"
"103",9,"Ben Yurosek",MIN,"6","84","122","104.8","12.2","-"
"104",9,"Tyler Conklin",DET,"6","83","152","107.8","25.0","-"
"105",9,"Blake Whiteheart",CLE,"11","99","129","108.0","11.2","-"
"106",9,"Robert Tonyan",PIT,"9","59","110","78.3","22.6","-"
"107",9,"Brevin Jordan",HOU,"8","78","130","109.0","17.6","-"
"108",9,"Ian Thomas",LV,"13","94","135","109.0","14.6","-"
"109",9,"Julian Hill",NE,"11","56","114","80.0","24.7","-"
"110",9,"Tip Reiman",ARI,"14","85","129","101.5","16.6","-"
"111",9,"Johnny Mundt",PHI,"10","91","113","101.8","7.8","-"
"112",9,"Tommy Myers",FA,"0","39","60","49.5","10.5","-"
"113",10,"Chris Manhertz",NYG,"8","90","168","117.2","26.8","-"
"114",10,"Connor Heyward",LV,"13","93","130","107.8","13.9","-"
"115",10,"Carsen Ryan",CLE,"11","78","111","93.7","13.5","-"
"116",10,"Hunter Long",ARI,"14","88","133","109.3","16.0","-"
"117",10,"Taysom Hill",FA,"0","56","77","66.5","10.5","-"
"118",10,"Thomas Fidone II",NYG,"8","64","157","114.3","33.3","-"
"119",10,"Ko Kieft",TB,"10","112","142","125.4","12.4","-"
"120",10,"Will Mallory",IND,"13","94","114","106.3","8.8","-"
"121",10,"Dallen Bentley",DEN,"10","102","114","108.3","4.9","-"
"122",10,"Stone Smartt",NO,"8","76","138","113.3","26.9","-"
"123",10,"Tanner Arkin",NE,"11","112","118","114.0","2.8","-"
"124",10,"Keleki Latu",BUF,"7","75","158","116.3","33.9","-"
"125",10,"Gavin Bartholomew",MIN,"6","93","101","97.0","4.0","-"
"126",10,"Quintin Morris",JAC,"7","101","127","117.7","11.8","-"
"127",10,"Jake Briningstool",KC,"5","102","138","119.0","14.8","-"
"128",10,"Mark Redman",GB,"11","100","111","105.5","5.5","-"
"129",10,"Moliki Matavao",NO,"8","86","146","123.3","26.6","-"
"130",10,"Brayden Willis",SF,"8","116","129","124.0","5.7","-"
"131",11,"Patrick Herbert",LAC,"7","78","141","109.5","31.5","-"
"132",11,"Teagan Quitoriano",ARI,"14","116","131","124.7","6.3","-"
"133",11,"Cameron Latu",NE,"11","109","153","126.0","19.3","-"
"134",11,"Cole Turner",MIA,"6","107","118","112.5","5.5","-"
"135",11,"Colson Yankoff",WAS,"7","115","134","127.0","8.5","-"
"136",11,"Hayden Large",CHI,"10","117","146","127.7","13.0","-"
"137",11,"Feleipe Franks",CAR,"5","111","122","116.5","5.5","-"
"138",11,"Nick Kallerup",SEA,"11","99","147","123.0","24.0","-"
"139",11,"Jack Stoll",FA,"0","109","137","123.0","14.0","-"
"140",11,"Lucas Krull",DEN,"10","110","163","136.3","21.6","-"
"141",11,"Jack Westover",WAS,"7","117","135","126.0","9.0","-"
"142",11,"Devin Culp",FA,"0","119","134","126.5","7.5","-"
"143",11,"Caleb Lohner",DEN,"10","126","140","133.0","7.0","-"
"144",11,"David Martin-Robinson",TEN,"9","119","148","133.5","14.5","-"
"145",11,"E.J. Jenkins",PHI,"10","118","154","136.0","18.0","-"
"146",11,"James Mitchell",DAL,"14","137","164","146.7","12.3","-"
"147",12,"CJ Dippre",TB,"10","132","149","140.5","8.5","-"
"148",12,"Albert Okwuegbunam Jr.",FA,"0","128","162","145.0","17.0","-"
"149",12,"Sean McKeon",IND,"13","151","169","160.0","9.0","-"
