"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"80",6,"Brian Thomas Jr.",JAC,"WR35","59","95","78.9","7.8","+6"
"81",6,"Jonathon Brooks",CAR,"RB30","65","139","80.1","13.3","+2"
"82",6,"Kyle Pitts Sr.",ATL,"TE7","65","94","82.9","6.9","-10"
"83",6,"Sam LaPorta",DET,"TE8","64","109","82.0","10.7","-11"
"84",6,"Courtland Sutton",DEN,"WR36","54","110","83.9","13.2","+7"
"85",6,"MarShawn Lloyd",GB,"RB31","55","158","84.8","22.4","-2"
"86",6,"Quentin Johnston",LAC,"WR37","70","105","88.1","7.6","+12"
"87",6,"J.K. Dobbins",DEN,"RB32","77","115","92.2","10.2","0"
"88",6,"Michael Pittman Jr.",PIT,"WR38","68","121","90.9","12.4","+25"
"89",6,"Blake Corum",LAR,"RB33","71","116","89.2","9.6","+5"
"90",6,"Alec Pierce",IND,"WR39","74","134","96.0","13.1","0"
"91",6,"George Kittle",SF,"TE9","66","111","94.6","9.1","-3"
"92",6,"Brock Purdy",SF,"QB11","77","114","95.0","7.9","+23"
"93",6,"Stefon Diggs",WAS,"WR40","71","132","99.8","14.3","+8"
"94",6,"Chuba Hubbard",CAR,"RB34","77","128","97.2","12.9","-10"
"95",6,"Jaxson Dart",NYG,"QB12","62","132","97.7","15.5","+1"
"96",6,"RJ Harvey",DEN,"RB35","74","129","98.5","15.4","-6"
"97",6,"Josh Downs",IND,"WR41","77","131","99.4","13.6","+14"
"98",6,"Michael Wilson",ARI,"WR42","74","128","93.7","12.0","-4"
"99",6,"Jordan Mason",MIN,"RB36","82","138","103.4","14.5","-10"
"100",6,"Jayden Reed",GB,"WR43","78","124","101.0","14.1","+9"
"101",6,"Bo Nix",DEN,"QB13","90","128","103.8","8.8","-1"
"102",6,"Wan'Dale Robinson",TEN,"WR44","80","120","102.7","10.3","+26"
"103",7,"Travis Kelce",KC,"TE10","85","141","103.3","13.1","-8"
"104",7,"Jacory Croskey-Merritt",WAS,"RB37","72","119","100.4","11.4","-2"
"105",7,"Patrick Mahomes II",KC,"QB14","73","133","101.8","13.6","+13"
"106",7,"Jordan Addison",MIN,"WR45","83","131","103.8","12.7","+2"
"107",7,"Dalton Kincaid",BUF,"TE11","81","133","106.3","10.5","-7"
"108",7,"Kenny Gainwell",TB,"RB38","79","126","107.5","12.3","-1"
"109",7,"Kyle Monangai",CHI,"RB39","82","131","108.6","10.6","-10"
"110",7,"Jared Goff",DET,"QB15","79","145","109.7","12.4","+12"
"111",7,"Makai Lemon",PHI,"WR46","83","148","111.1","14.6","+1"
"112",7,"Matthew Stafford",LAR,"QB16","90","146","111.8","12.9","-9"
"113",7,"Jakobi Meyers",JAC,"WR47","73","146","113.7","15.2","+26"
"114",7,"Rachaad White",WAS,"RB40","99","133","114.8","8.3","+9"
"115",7,"Kyler Murray",MIN,"QB17","99","141","115.4","11.6","+14"
"116",7,"Isaiah Likely",NYG,"TE12","95","151","118.2","13.4","-18"
"117",7,"De'Zhaun Stribling",SF,"WR48","71","169","121.2","21.7","-15"
"118",7,"Aaron Jones Sr.",MIN,"RB41","92","140","118.0","10.8","+7"
"119",7,"Dallas Goedert",PHI,"TE13","95","137","116.2","11.0","+1"
"120",7,"KC Concepcion",CLE,"WR49","78","188","117.8","18.8","+2"
"121",7,"Matthew Golden",GB,"WR50","99","157","122.0","15.0","+9"
"122",7,"Jordan Love",GB,"QB18","102","147","122.0","12.0","+13"
"123",7,"Xavier Worthy",KC,"WR51","100","153","124.1","12.4","+18"
"124",7,"Chris Rodriguez Jr.",JAC,"RB42","102","166","125.9","11.9","+8"
