"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"347",12,"Dawson Knox",BUF,"TE48","264","356","318.3","31.2","-"
"348",12,"Noah Gray",KC,"TE49","303","356","329.1","16.5","-"
"349",12,"J.J. McCarthy",MIN,"QB37","319","581","375.2","82.4","-"
"350",12,"Olamide Zaccheaus",ATL,"WR124","272","355","310.2","27.0","-"
"351",12,"Luke McCaffrey",WAS,"WR125","277","568","347.1","70.2","-"
"352",12,"Roschon Johnson",CHI,"RB102","243","394","317.0","38.1","-"
"353",12,"Carson Beck",ARI,"QB38","277","579","347.1","74.4","-69"
"354",12,"Kalif Raymond",CHI,"WR126","288","379","321.6","33.8","-"
"355",12,"Raheim Sanders",CLE,"RB103","289","357","319.6","18.8","-"
"356",12,"Tez Johnson",TB,"WR127","283","384","322.3","28.6","-"
"357",12,"Jalen Royals",KC,"WR128","308","587","369.6","71.8","-"
"358",12,"CJ Daniels",LAR,"WR129","291","615","391.2","104.5","-"
"359",12,"Joe Mixon",FA,"RB104","271","359","310.8","22.7","-"
"360",12,"Atlanta Falcons",ATL,"DST22","205","505","298.6","53.5","-"
"361",12,"Eli Heidenreich",PIT,"RB105","286","375","330.5","26.8","-"
"362",12,"Savion Williams",GB,"WR130","312","375","353.3","17.9","-"
"363",12,"Odell Beckham Jr.",NYG,"WR131","242","377","315.5","47.2","-"
"364",12,"Chicago Bears",CHI,"DST23","193","501","294.8","77.3","-123"
"365",12,"Sione Vaki",DET,"RB106","280","361","326.0","23.1","-"
"366",12,"Max Klare",LAR,"TE50","297","363","338.7","23.0","-"
"367",12,"Justin Fields",KC,"QB39","317","585","374.0","72.4","-"
"368",12,"Treylon Burks",WAS,"WR132","304","395","339.1","31.4","-"
"369",12,"Rasheen Ali",BAL,"RB107","283","364","329.0","28.1","-"
"370",12,"Michael Carter",TEN,"RB108","298","471","367.0","65.4","-"
"371",12,"Noah Fant",NO,"TE51","335","366","357.0","11.4","-"
"372",12,"Colbie Young",CIN,"WR133","275","383","325.9","40.5","-"
"373",12,"Ja'Tavion Sanders",CAR,"TE52","294","374","340.1","25.4","-"
"374",12,"Anthony Richardson Sr.",IND,"QB40","322","583","420.6","92.4","-"
"375",12,"Ben Sinnott",WAS,"TE53","284","371","341.9","30.1","-"
"376",12,"Kevin Coleman Jr.",MIA,"WR134","332","378","358.0","15.8","-"
"377",12,"Demarcus Robinson",SF,"WR135","297","407","357.3","36.0","-"
"378",12,"Tommy Tremble",CAR,"TE54","301","374","346.0","22.0","-"
"379",12,"Tyler Bass",BUF,"K19","252","328","295.8","25.9","-137"
"380",12,"Trey Smack",GB,"K20","249","382","293.2","48.4","-176"
"381",12,"Mitchell Evans",CAR,"TE55","339","376","357.5","14.2","-"
"382",12,"Cedric Tillman",NO,"WR136","292","433","345.1","39.8","-"
"383",12,"Kyle Juszczyk",SF,"RB109","265","355","304.0","32.3","-"
"384",12,"Luke Musgrave",GB,"TE56","381","439","406.3","24.2","-"
"385",12,"Daniel Bellinger",TEN,"TE57","316","389","354.6","26.9","-"
"386",12,"New York Giants",NYG,"DST24","241","499","320.4","91.5","-159"
"387",12,"Ty Simpson",LAR,"QB41","332","586","407.9","84.4","-"
"388",12,"Jameis Winston",NYG,"QB42","343","694","435.3","125.3","-"
"389",12,"Tennessee Titans",TEN,"DST25","259","494","376.5","117.5","-161"
"390",12,"Dylan Laube",LV,"RB110","317","426","353.0","40.2","-"
"391",12,"Jaylin Lane",WAS,"WR137","296","387","361.4","33.6","-"
"392",12,"Joe Flacco",CIN,"QB43","338","584","415.7","91.8","-"
"393",12,"Elijah Higgins",ARI,"TE58","340","393","362.5","21.8","-"
"394",12,"Hunter Luepke",DAL,"RB111","190","370","298.3","72.7","-"
"395",12,"Jawhar Jordan",HOU,"RB112","314","391","357.2","24.9","-"
"396",12,"Ashton Dulin",IND,"WR138","318","524","382.6","73.1","-"
"397",12,"Corey Kiner",NE,"RB113","262","415","343.0","56.3","-"
"398",12,"Jackson Hawes",BUF,"TE59","326","367","344.8","13.3","-"
"399",12,"Austin Ekeler",FA,"RB114","304","438","346.6","50.3","-143"
"400",12,"Jeremy McNichols",WAS,"RB115","323","398","359.6","29.1","-"
"401",12,"Ameer Abdullah",JAC,"RB116","325","413","354.4","32.1","-"
"402",12,"Devontez Walker",BAL,"WR139","285","489","347.8","83.5","-"
"403",12,"Jordan Whittington",LAR,"WR140","320","436","362.4","45.4","-"
"404",12,"Ronnie Rivers",LAR,"RB117","293","402","359.6","39.6","-"
"405",12,"John Bates",WAS,"TE60","267","421","342.3","62.9","-"
"406",12,"Austin Hooper",ATL,"TE61","306","391","360.2","28.3","-"
"407",12,"Josh Oliver",MIN,"TE62","249","371","307.3","52.2","-"
"408",12,"Dyami Brown",WAS,"WR141","374","645","509.5","135.5","-"
"409",12,"Antonio Williams",FA,"RB118","235","286","259.3","20.9","-"
"410",12,"Joey Slye",TEN,"K21","","","","","-"
"411",12,"Tai Felton",MIN,"WR142","311","535","385.0","88.3","-"
"412",13,"Tanner Koziol",JAC,"TE63","307","365","339.0","24.1","-"
"413",13,"Tutu Atwell",LAR,"WR143","311","384","354.2","25.4","-"
"414",13,"Jam Miller",FA,"RB119","303","365","335.0","25.4","-"
"415",13,"Will Kacmarek",MIA,"TE64","310","392","348.0","33.7","-"
"416",13,"Nate Boerkircher",JAC,"TE65","378","398","388.0","10.0","-"
"417",13,"Barion Brown",NO,"WR144","306","600","399.8","117.9","-"
"418",13,"Tyler Badie",DEN,"RB120","357","480","391.4","45.5","-"
"419",13,"Luke Schoonmaker",DAL,"TE66","356","405","383.3","20.4","-"
"420",13,"J'Mari Taylor",JAC,"RB121","315","497","399.3","74.9","-"
"421",13,"John Metchie III",CAR,"WR145","322","596","396.6","101.9","-"
"422",13,"Chad Ryland",ARI,"K22","","","","","-"
"423",13,"Deion Burks",IND,"WR146","323","595","421.3","123.2","-"
"424",13,"Tyler Goodson",ATL,"RB122","328","393","364.7","27.2","-"
"425",13,"Dont'e Thornton Jr.",LV,"WR147","278","604","390.4","88.8","-"
"426",13,"Marcus Mariota",WAS,"QB44","326","698","464.8","136.0","-"
"427",13,"Jonnu Smith",GB,"TE67","241","392","345.3","60.6","-"
"428",13,"Cade Klubnik",NYJ,"QB45","338","702","460.6","141.3","-"
"429",13,"Dameon Pierce",PHI,"RB123","310","446","386.0","48.8","-"
"430",13,"Marlin Klein",HOU,"TE68","273","391","355.0","48.3","-"
"431",13,"Matt Hibner",BAL,"TE69","233","394","311.3","58.1","-"
"432",13,"Sam Roush",CHI,"TE70","307","404","361.7","40.5","-"
"433",13,"Foster Moreau",HOU,"TE71","363","530","446.5","83.5","-"
"434",13,"Julius Chestnut",TEN,"RB124","362","419","378.8","23.4","-"
"435",13,"Reggie Virgil",ARI,"WR148","355","588","473.3","95.2","-"
"436",13,"Tampa Bay Buccaneers",TB,"DST26","278","496","339.0","81.8","-"
"437",13,"Adam Trautman",DEN,"TE72","325","391","360.5","23.9","-"
"438",13,"Isaiah Williams",NYJ,"WR149","242","343","296.3","41.6","-"
"439",13,"Daniel Carlson",NO,"K23","","","","","-"
"440",13,"Brock Wright",DET,"TE73","322","376","354.3","20.3","-"
"441",13,"AJ Dillon",CAR,"RB125","313","429","356.3","44.9","-"
"442",13,"Justin Joly",MIA,"TE74","287","515","375.8","75.2","-"
"443",13,"Phil Mafah",FA,"RB126","350","411","380.5","30.5","-"
"444",13,"Damien Martinez",FA,"RB127","353","447","400.0","47.0","-"
"445",13,"Jahdae Walker",CHI,"WR150","354","599","439.0","113.2","-"
"446",13,"Jelani Woods",NYJ,"TE75","329","565","453.0","110.5","-"
"447",13,"Cincinnati Bengals",CIN,"DST27","191","284","237.5","46.5","-"
"448",13,"Kene Nwangwu",NYJ,"RB128","369","436","395.0","29.3","-"
"449",13,"Pierre Strong Jr.",GB,"RB129","","","","","-"
"450",13,"Jeremy Ruckert",NYJ,"TE76","392","522","457.0","65.0","-"
"451",13,"Nick Westbrook-Ikhine",FA,"WR151","378","597","453.0","101.8","-"
"452",13,"Joe Milton III",DAL,"QB46","311","691","489.3","163.4","-"
"453",13,"Durham Smythe",BAL,"TE77","351","539","430.3","79.5","-"
"454",13,"Reggie Gilliam",NE,"RB130","252","380","316.0","64.0","-"
"455",13,"Antonio Gibson",FA,"RB131","312","356","334.0","22.0","-"
"456",13,"Jack Endries",CIN,"TE78","","","","","-"
"457",13,"Alec Ingold",LAC,"RB132","371","388","379.5","8.5","-"
"458",13,"Jimmy Horn Jr.",CAR,"WR152","370","383","375.0","5.7","-"
"459",13,"KeAndre Lambert-Smith",LAC,"WR153","397","624","510.5","113.5","-"
"460",13,"Mo Alie-Cox",IND,"TE79","351","406","378.5","27.5","-"
"461",13,"Xavier Smith",LAR,"WR154","","","","","-"
"462",13,"Dohnte Meyers",CIN,"WR155","","","","","-"
"463",13,"Greg Dortch",BUF,"WR156","472","594","533.0","61.0","-"
"464",13,"Tim Patrick",NYJ,"WR157","372","553","462.5","90.5","-"
"465",13,"Seydou Traore",MIA,"TE80","326","394","360.0","34.0","-"
"466",13,"Jermar Jefferson",MIN,"RB133","","","","","-"
"467",13,"Miami Dolphins",MIA,"DST28","287","317","302.0","15.0","-"
"468",13,"Cade Stover",HOU,"TE81","352","444","398.0","46.0","-"
"469",13,"Drew Sample",CIN,"TE82","362","387","374.5","12.5","-"
"470",13,"Josh Williams",TB,"RB134","324","502","392.3","78.3","-"
"471",13,"Patrick Ricard",NYG,"RB135","386","416","401.0","15.0","-"
"472",13,"Luke Farrell",SF,"TE83","403","433","418.0","15.0","-"
"473",13,"Charlie Woerner",ATL,"TE84","414","494","454.0","40.0","-"
"474",13,"Josh Cameron",JAC,"WR158","292","529","400.0","97.9","-"
"475",13,"Jaydn Ott",KC,"RB136","","","","","-"
"476",13,"Brevyn Spann-Ford",DAL,"TE85","390","517","453.5","63.5","-"
"477",13,"Zamir White",NO,"RB137","331","482","406.5","75.5","-"
"478",13,"Jalen Brooks",ARI,"WR159","318","404","368.3","36.6","-"
"479",13,"Brittain Brown",CHI,"RB138","278","346","312.0","34.0","-"
"480",13,"Zach Ertz",FA,"TE86","256","385","331.7","55.0","-"
"481",13,"Tanner Hudson",CIN,"TE87","371","379","374.3","3.4","-"
"482",13,"Max Bredeson",MIN,"RB139","382","427","404.5","22.5","-"
"483",13,"Lew Nichols III",PIT,"RB140","365","481","438.3","52.1","-"
"484",13,"Zavier Scott",CHI,"RB141","374","378","376.0","2.0","-"
"485",13,"Chris Brazzell II",CAR,"WR160","285","596","411.0","115.1","-"
"486",13,"Raheem Mostert",LV,"RB142","","","","","-"
"487",13,"Davis Allen",LAR,"TE88","426","554","490.0","64.0","-"
"488",13,"Tay Martin",DET,"WR161","","","","","-"
"489",13,"Kalel Mullings",TEN,"RB143","463","470","466.5","3.5","-"
"490",14,"Josh Cuevas",BAL,"TE89","","","","","-"
"491",14,"Grant Calcaterra",PHI,"TE90","327","556","441.5","114.5","-"
"492",14,"Joe Royer",CLE,"TE91","342","411","376.5","34.5","-"
"493",14,"Elijah Moore",PHI,"WR162","414","612","513.0","99.0","-"
"494",14,"Jordan Watkins",SF,"WR163","440","603","521.5","81.5","-"
"495",14,"Tyrod Taylor",GB,"QB47","350","688","528.0","138.6","-"
"496",14,"Davis Mills",HOU,"QB48","539","704","621.5","82.5","-"
"497",14,"Jonathan Mingo",DAL,"WR164","356","590","445.0","103.4","-"
"498",14,"Trey Sermon",ATL,"RB144","189","478","333.5","144.5","-"
"499",14,"Nate Adkins",DEN,"TE92","372","434","403.0","31.0","-"
"500",14,"Josh Whyle",GB,"TE93","402","541","471.5","69.5","-"
"501",14,"Darius Cooper",PHI,"WR165","382","536","459.0","77.0","-"
"502",14,"Eric Saubert",SEA,"TE94","441","528","484.5","43.5","-"
"503",14,"Payne Durham",TB,"TE95","447","543","495.0","48.0","-"
"504",14,"Riley Nowakowski",PIT,"TE96","297","380","338.5","41.5","-"
"505",14,"Derius Davis",LAC,"WR166","455","643","549.0","94.0","-"
"506",14,"Efton Chism III",NE,"WR167","","","","","-"
"507",14,"Quinn Ewers",JAC,"QB49","","","","","-"
"508",14,"British Brooks",HOU,"RB145","392","403","397.5","5.5","-"
"509",14,"Brycen Tremayne",CAR,"WR168","322","559","453.3","98.4","-"
"510",14,"Michael Trigg",DAL,"TE97","349","438","393.5","44.5","-"
"511",14,"Trey Lance",LAC,"QB50","369","726","542.3","145.9","-"
"512",14,"Terrell Jennings",FA,"RB146","308","508","408.0","100.0","-"
"513",14,"Ben Sims",MIA,"TE98","461","512","486.5","25.5","-"
"514",14,"Bauer Sharp",TB,"TE99","424","483","453.5","29.5","-"
"515",14,"Bo Melton",GB,"WR169","418","486","452.0","34.0","-"
"516",14,"Drew Ogletree",IND,"TE100","428","437","432.5","4.5","-"
"517",14,"Frank Gore Jr.",BUF,"RB147","301","531","416.0","115.0","-"
"518",14,"Lil'Jordan Humphrey",DEN,"WR170","490","664","577.0","87.0","-"
"519",14,"Jared Wiley",KC,"TE101","417","519","468.0","51.0","-"
"520",14,"Dante Miller",FA,"RB148","332","512","422.0","90.0","-"
"521",14,"Gardner Minshew II",ARI,"QB51","570","715","642.5","72.5","-"
"522",14,"Kylen Granson",TEN,"TE102","460","564","512.0","52.0","-"
"523",14,"Eric Gray",FA,"RB149","452","454","453.0","1.0","-"
"524",14,"Ben Yurosek",MIN,"TE103","","","","","-"
"525",14,"Kaden Wetjen",PIT,"WR171","363","368","365.5","2.5","-"
"526",14,"Taylen Green",CLE,"QB52","363","685","553.0","137.7","-"
"527",14,"Tyler Conklin",DET,"TE104","500","574","537.0","37.0","-"
"528",14,"Blake Whiteheart",CLE,"TE105","488","548","518.0","30.0","-"
"529",14,"Skyy Moore",GB,"WR172","423","673","548.0","125.0","-"
"530",14,"Carlos Washington Jr.",FA,"RB150","420","503","461.5","41.5","-"
"531",14,"Robert Tonyan",PIT,"TE106","","","","","-"
"532",14,"J. Michael Sturdivant",GB,"WR173","","","","","-"
"533",14,"Laquon Treadwell",IND,"WR174","379","662","487.7","124.5","-"
"534",14,"Arian Smith",NYJ,"WR175","413","623","518.0","105.0","-"
"535",14,"Devin Duvernay",ARI,"WR176","","","","","-"
"536",14,"Montorie Foster Jr.",SEA,"WR177","","","","","-"
"537",14,"Jared Wayne",HOU,"WR178","","","","","-"
"538",14,"Brevin Jordan",HOU,"TE107","527","549","538.0","11.0","-"
"539",14,"Dareke Young",LV,"WR179","","","","","-"
"540",14,"Camden Brown",DAL,"WR180","","","","","-"
"541",14,"Isaiah Williams",FA,"WR181","306","423","364.5","58.5","-"
"542",14,"Malachi Corley",CLE,"WR182","453","665","559.0","106.0","-"
"543",14,"Ian Thomas",LV,"TE108","377","532","454.5","77.5","-"
"544",14,"Tyrell Shavers",BUF,"WR183","462","605","533.5","71.5","-"
"545",14,"Julian Hill",NE,"TE109","313","496","404.5","91.5","-"
"546",14,"Ben Skowronek",PIT,"WR184","","","","","-"
"547",14,"Kameron Johnson",TB,"WR185","495","520","507.5","12.5","-"
"548",15,"David Sills V",TB,"WR186","","","","","-"
"549",15,"LaJohntay Wester",BAL,"WR187","566","661","613.5","47.5","-"
"550",15,"Myles Price",MIN,"WR188","","","","","-"
"551",15,"Tip Reiman",ARI,"TE110","507","575","541.0","34.0","-"
"552",15,"Johnny Mundt",PHI,"TE111","381","457","421.0","31.2","-"
"553",15,"Tommy Myers",FA,"TE112","","","","","-"
"554",15,"Tylan Wallace",CLE,"WR189","551","622","586.5","35.5","-"
"555",15,"Chris Manhertz",NYG,"TE113","420","536","478.0","58.0","-"
"556",15,"Chris Blair",ATL,"WR190","394","638","526.7","100.8","-"
"557",15,"Jacob Cowing",SF,"WR191","513","651","582.0","69.0","-"
"558",15,"Connor Heyward",LV,"TE114","513","576","544.5","31.5","-"
"559",15,"CJ Williams",JAC,"WR192","449","504","476.5","27.5","-"
"560",15,"Simi Fehoko",ARI,"WR193","","","","","-"
"561",15,"Carsen Ryan",CLE,"TE115","","","","","-"
"562",15,"Tyson Bagent",CHI,"QB53","377","701","540.0","132.3","-"
"563",15,"Nikko Remigio",KC,"WR194","586","668","627.0","41.0","-"
"564",15,"Ke'Shawn Williams",CIN,"WR195","","","","","-"
"565",15,"Mason Tipton",NO,"WR196","372","614","483.7","99.7","-"
"566",15,"Hunter Long",ARI,"TE116","412","526","469.0","57.0","-"
"567",15,"Taysom Hill",FA,"TE117","","","","","-"
"568",15,"Thomas Fidone II",NYG,"TE118","","","","","-"
"569",15,"Tom Kennedy",DET,"WR197","","","","","-"
"570",15,"Ryan Miller",MIA,"WR198","","","","","-"
"571",15,"Jackson Meeks",DET,"WR199","","","","","-"
"572",15,"Jeshaun Jones",MIN,"WR200","","","","","-"
"573",15,"Van Jefferson",WAS,"WR201","368","473","420.5","52.5","-"
"574",15,"Theo Wease Jr.",LAC,"WR202","","","","","-"
"575",15,"Xavier Restrepo",TEN,"WR203","458","680","569.0","111.0","-"
"576",15,"Tyler Huntley",BAL,"QB54","387","544","465.5","78.5","-"
"577",15,"Velus Jones Jr.",SEA,"WR204","463","608","535.5","72.5","-"
"578",15,"Jarrett Stidham",DEN,"QB55","560","695","627.5","67.5","-"
"579",16,"Mitch Tinsley",HOU,"WR205","437","459","448.0","11.0","-"
"580",16,"Sam Howell",DAL,"QB56","553","708","630.5","77.5","-"
"581",16,"Dillon Gabriel",CLE,"QB57","607","689","648.0","41.0","-"
"582",16,"Riley Leonard",IND,"QB58","364","605","484.5","120.5","-"
"583",16,"Spencer Rattler",NO,"QB59","558","706","632.0","74.0","-"
"584",16,"Kevin Austin Jr.",NO,"WR206","429","625","527.0","98.0","-"
"585",16,"Andrew Armstrong",KC,"WR207","","","","","-"
"586",16,"Carson Wentz",MIN,"QB60","609","711","660.0","51.0","-"
"587",16,"Drew Lock",SEA,"QB61","","","","","-"
"588",16,"Andy Dalton",PHI,"QB62","572","692","632.0","60.0","-"
"589",16,"Emmanuel Henderson Jr.",SEA,"WR208","424","472","448.0","24.0","-173"
"590",16,"Anthony Gould",FA,"WR209","419","611","515.0","96.0","-"
"591",16,"Beaux Collins",ATL,"WR210","","","","","-"
"592",16,"Cody White",FA,"WR211","","","","","-"
"593",16,"Dillon Bell",MIN,"WR212","","","","","-"
"594",16,"Dominic Lovett",DET,"WR213","534","593","563.5","29.5","-"
"595",16,"Casey Washington",CAR,"WR214","583","636","609.5","26.5","-"
"596",16,"Jalon Daniels",TB,"QB63","","","","","-"
"597",16,"Kyle Allen",BUF,"QB64","","","","","-"
"598",16,"Jalen Milroe",SEA,"QB65","604","687","645.5","41.5","-"
"599",16,"Mitchell Trubisky",TEN,"QB66","480","699","589.5","109.5","-"
"600",16,"Tommy DeVito",NE,"QB67","549","724","636.5","87.5","-"
"601",16,"Kyle McCord",MIA,"QB68","603","705","654.0","51.0","-"
"602",16,"Kenny Pickett",CAR,"QB69","","","","","-"
"603",16,"Mason Rudolph",PIT,"QB70","573","719","646.0","73.0","-"
"604",16,"Joshua Dobbs",DET,"QB71","552","696","624.0","72.0","-"
"605",16,"Will Howard",PIT,"QB72","","","","","-"
"606",16,"Drew Allar",PIT,"QB73","601","683","642.0","41.0","-"
"607",16,"Tanner McKee",PHI,"QB74","602","709","655.5","53.5","-"
"608",16,"Zach Wilson",NO,"QB75","610","684","647.0","37.0","-"
"609",16,"Aidan O'Connell",LV,"QB76","613","710","661.5","48.5","-"
